Functional Group,Species,Fall mean (LCI - UCI),Spring mean (LCI - UCI),Fall - Spring Difference (LCI - UCI),Shift Pattern,Mechanism
Benthivore,american plaice,0.01 (-0.02 - 0.05),-0.01 (-0.04 - 0.03),0.02 (-0.03 - 0.07),Stable,Neither moving
Benthivore,atlantic hagfish,-0.12 (-0.31 - 0.08),0.54 (0.35 - 0.74),-0.66 (-0.93 - -0.38),Converging,Spring moving only
Benthivore,black sea bass,0.50 (0.34 - 0.66),0.54 (0.38 - 0.71),-0.04 (-0.27 - 0.18),Marching,Both moving
Benthivore,cunner,0.09 (0.01 - 0.16),0.29 (0.21 - 0.36),-0.20 (-0.31 - -0.09),Converging,Both moving
Benthivore,fawn cusk-eel,-0.08 (-0.16 - -0.01),0.03 (-0.05 - 0.11),-0.11 (-0.22 - -0.01),Converging,Fall moving only
Benthivore,fourbeard rockling,0.08 (-0.00 - 0.16),0.12 (0.05 - 0.20),-0.05 (-0.16 - 0.06),Unclear,Spring moving only
Benthivore,gulf stream flounder,-0.05 (-0.13 - 0.02),0.00 (-0.07 - 0.08),-0.06 (-0.17 - 0.05),Stable,Neither moving
Benthivore,haddock,-0.04 (-0.08 - 0.00),0.01 (-0.03 - 0.05),-0.05 (-0.11 - 0.01),Stable,Neither moving
Benthivore,little skate,-0.05 (-0.09 - -0.01),-0.03 (-0.07 - 0.01),-0.02 (-0.07 - 0.03),Unclear,Fall moving only
Benthivore,longhorn sculpin,0.13 (0.09 - 0.16),0.11 (0.08 - 0.15),0.01 (-0.03 - 0.06),Marching,Both moving
Benthivore,northern searobin,0.20 (0.06 - 0.34),0.12 (-0.02 - 0.26),0.08 (-0.11 - 0.28),Unclear,Fall moving only
Benthivore,ocean pout,0.03 (-0.03 - 0.09),0.15 (0.09 - 0.21),-0.12 (-0.20 - -0.04),Converging,Spring moving only
Benthivore,scup,0.02 (-0.18 - 0.22),0.46 (0.25 - 0.66),-0.44 (-0.73 - -0.15),Converging,Spring moving only
Benthivore,smooth skate,0.10 (0.05 - 0.15),0.06 (0.01 - 0.11),0.04 (-0.03 - 0.11),Marching,Both moving
Benthivore,windowpane flounder,-0.02 (-0.06 - 0.03),0.05 (0.00 - 0.10),-0.06 (-0.13 - 0.00),Unclear,Spring moving only
Benthivore,winter flounder,0.07 (0.02 - 0.11),0.11 (0.06 - 0.16),-0.04 (-0.11 - 0.02),Marching,Both moving
Benthivore,witch flounder,0.03 (-0.04 - 0.09),-0.10 (-0.17 - -0.04),0.13 (0.04 - 0.22),Diverging,Spring moving only
Benthivore,yellowtail flounder,0.20 (0.15 - 0.26),0.28 (0.22 - 0.33),-0.07 (-0.15 - 0.00),Marching,Both moving
Piscivore,acadian redfish,0.00 (-0.05 - 0.05),-0.01 (-0.06 - 0.04),0.01 (-0.06 - 0.07),Stable,Neither moving
Piscivore,atlantic cod,0.02 (-0.02 - 0.05),0.11 (0.08 - 0.15),-0.09 (-0.14 - -0.04),Converging,Spring moving only
Piscivore,cusk,-0.03 (-0.07 - 0.02),-0.12 (-0.17 - -0.08),0.10 (0.03 - 0.16),Diverging,Spring moving only
Piscivore,fourspot flounder,0.00 (-0.04 - 0.05),0.04 (-0.00 - 0.08),-0.03 (-0.09 - 0.02),Stable,Neither moving
Piscivore,goosefish,0.06 (-0.04 - 0.15),0.17 (0.08 - 0.26),-0.11 (-0.24 - 0.02),Unclear,Spring moving only
Piscivore,longfin squid,0.04 (-0.06 - 0.13),0.00 (-0.10 - 0.10),0.03 (-0.10 - 0.17),Stable,Neither moving
Piscivore,northern shortfin squid,-0.49 (-0.67 - -0.31),0.13 (-0.04 - 0.31),-0.63 (-0.88 - -0.37),Converging,Fall moving only
Piscivore,offshore hake,-0.29 (-0.44 - -0.14),-0.22 (-0.37 - -0.06),-0.07 (-0.29 - 0.14),Marching,Both moving
Piscivore,pollock,0.03 (-0.01 - 0.08),0.08 (0.03 - 0.13),-0.05 (-0.11 - 0.02),Unclear,Spring moving only
