"functional_group","species","beta_species",".lower",".upper",".width",".point",".interval","pct_change","pct_lower","pct_upper","comname","mean_dist","dist_group"
"Benthivore","Alligatorfish",-0.064869049495044,-0.127428822657115,-0.00155791642230368,0.75,"median","qi",-6.2809819130306,-11.964392498955,-0.155670350047299,"Alligatorfish",109.409079863922,"Medium (25–75%)"
"Benthivore","American lobster",0.00830156754595009,-0.0523549303118849,0.069768532177108,0.75,"median","qi",0.833612110786919,-5.10080189588723,7.22599588493258,"American lobster",59.3777790980762,"Short (0–25%)"
"Benthivore","American plaice",0.00420688878415163,-0.0589676033400383,0.0664290032517737,0.75,"median","qi",0.421575016269315,-5.7262689797545,6.86850882155945,"American plaice",30.4449960364685,"Short (0–25%)"
"Benthivore","Atlantic rock crab",0.11121683107571,0.0476827739962339,0.175969256433634,0.75,"median","qi",11.7637219063563,4.88378838948793,19.2401399415597,"Atlantic rock crab",199.7238519862,"Medium (25–75%)"
"Benthivore","Black sea bass",0.0331123567166217,-0.0301382539320583,0.0952645096387226,0.75,"median","qi",3.36666721103889,-2.96886250881601,9.99497639649902,"Black sea bass",148.14037126028,"Medium (25–75%)"
"Benthivore","Cunner",0.0437127409320187,-0.0187991632777659,0.106513048202732,0.75,"median","qi",4.46822173418016,-1.8623561120707,11.2392441073078,"Cunner",94.3493350106632,"Medium (25–75%)"
"Benthivore","Fawn cusk-eel",0.0224155575877964,-0.0385845726149637,0.0841950284078817,0.75,"median","qi",2.26686739085531,-3.78496702705561,8.78410330262664,"Fawn cusk-eel",124.322860128034,"Medium (25–75%)"
"Benthivore","Fourbeard rockling",-0.0348538530145849,-0.0947255070080469,0.026731914650103,0.75,"median","qi",-3.42534531090899,-9.03774147720608,2.70924174216498,"Fourbeard rockling",78.2504306069361,"Medium (25–75%)"
"Benthivore","Gulf stream flounder",-0.0453815575796857,-0.107630954438865,0.0154259425984064,0.75,"median","qi",-4.43672166710901,-10.2041076956003,1.55455366097217,"Gulf stream flounder",100.501053558901,"Medium (25–75%)"
"Benthivore","Haddock",-0.028814087732272,-0.0910507464060227,0.033233657599169,0.75,"median","qi",-2.84029205068235,-8.70286202926167,3.37920643949192,"Haddock",62.9806789469306,"Short (0–25%)"
"Benthivore","Horseshoe crab",0.0304756321763857,-0.0395569125072398,0.0991051719155889,0.75,"median","qi",3.09447678624362,-3.87847527358544,10.4182422432869,"Horseshoe crab",57.9935977115229,"Short (0–25%)"
"Benthivore","Jonah crab",0.0229176641543082,-0.0403606144560613,0.0860385056167102,0.75,"median","qi",2.31822914996804,-3.95569729443073,8.98482927778235,"Jonah crab",141.990657387028,"Medium (25–75%)"
"Benthivore","Little skate",-0.0194963071866827,-0.0805415165288435,0.0418779022065973,0.75,"median","qi",-1.93074833036347,-7.73834010500175,4.27671514095078,"Little skate",154.12262699248,"Medium (25–75%)"
"Benthivore","Longhorn sculpin",-0.0632814431474046,-0.127150684959183,-0.00373587940119258,0.75,"median","qi",-6.13207483338538,-11.9399030721902,-0.372890968578266,"Longhorn sculpin",73.2340998812846,"Short (0–25%)"
"Benthivore","Northern searobin",-0.0180876440859585,-0.0804489089579495,0.0432341479392395,0.75,"median","qi",-1.79250444755266,-7.72979558115452,4.41823593767015,"Northern searobin",131.355290707076,"Medium (25–75%)"
